code,name,credits,description
"49-951, 952, 953, 954",INDEPENDENT STUDY,4,May be repeated with change in content.
49-984,HONORS,4,"47-011 
BARRE ABOVE FITNESS. Course combines the disciplines of ballet, Pilates, and yoga for a total 
body workout.  Must be taken Pass/D/F."
47-021,TENNIS,1,"Rules, fundamentals and/or appropriate level techniques, and recreational skills for all 
levels of skills for tennis players. Must be taken Pass/D/F."
47-031,BOWLING,1,"Rules, fundamentals and/or appropriate level techniques, and recreational skills for all 
levels of skills for bowlers. Lab fee required. Must be taken Pass/D/F."
47-051,GOLF,1,"Rules, fundamentals and/or appropriate level techniques, and skill development for all levels 
of skill. Lab fee required. Must be taken Pass/D/F."
47-081,YOGA,1,"Course includes instruction to basic Hatha Yoga techniques. A mat is required. Must be taken 
Pass/D/F."
47-101,SWIM FOR FITNESS,1,"Course is designed to enjoy the benefits of swimming as a means of 
obtaining aerobic fitness.  Must be able to pass a basic swimming test to enroll.  Must be taken 
Pass/D/F."
47-111,JOG FOR FITNESS,1,"Course includes the basics needed to enjoy the benefits of jogging/running to 
obtain aerobic fitness. Must be taken Pass/D/F."
47-131,MIXED MARTIAL ARTS,1,Basic mixed martial arts movements and skills.  Must be taken Pass/D/F.
47-141,MARTIAL ARTS,1,"Beginning Tae Kwon Do/Karate or Beginning Hapkido/Judo and/or advanced 
levels of either are offered on a rotating basis. Each is studied with regard to the history, customs, 
skills/techniques and unique features of the specific martial art. Must be taken Pass/D/F."
47-151,TOTAL FITNESS,1,"Course designed to give the participant the basics for developing and maintaining 
a full workout regime. Must be taken Pass/D/F."
47-161,WEIGHT TRAINING,1,"Teaches safe and effective techniques for weight training at all levels. 
Provides a background of information concerning techniques for muscle and strength development 
utilizing conventional free weight exercise coupled with exercise machines. Must be taken Pass/D/F."
47-171,ZUMBA,1,"Course includes basic instruction of a Zumba workout. Participant will be required to 
participate in a cardio intensive workout. Must be taken Pass/D/F. 
114"
47-231,CARDIO CORE,1,"Course designed to give the participant the basics for developing and maintaining 
an intensive cardio and core workout. Must be taken Pass/D/F."
47-241,RECESS SPORTS,1,"Course designed to allow participants to be involved in activities that harken 
back to school recess or gym classes.  Must be taken Pass/D/F."
"47-001, 002",SELECTED TOPICS,2,"May be repeated with change in topic. May require a lab fee. Must be taken 
Pass/D/F."
"47-301, 302",SELECTED TOPICS,2,"May be repeated with change in topic. May require a lab fee. Must be taken 
Pass/D/F."
"47-901, 902",TUTORIAL,2,"04-104 
INTRODUCTION TO FEMINIST STUDIES. This course is designed to think critically about the 
intellectual, emotional, spiritual, and political capacities of feminist thought. We will explore the 
diversity of feminisms that have emerged from historical movements alongside contemporary 
discourses. As a class, we will explore how feminist theory is a tool used to deconstruct injustice and 
articulate alternatives to oppression. There will be emphasis on the body and the ways intersectional 
approaches reckon with difference in regard to identity (gender, sexuality, race, citizenship, class, 
disability). Contributes to Race and Ethnicity Studies/Allied Course. (H) (ScS) (SJ)"
04-204,FEMINIST THEORIES AND METHODS,4,"This course traces the intellectual traditions of 
contemporary feminist theories and practices. Topics will include feminist methodologies and the 
formation of, and challenges to, the discipline of Feminist Studies. Prerequisite: Feminist Studies 04-
104. (Biennially) (ScS) (WA)"
04-254,LATINX SPIRITUALITIES,4,"This course examines the historical development and cultural 
production of U.S. Latina/o/x and Chicana/o/x spiritual and religious practices, beliefs, and identities.
Drawing from Chicana/Latina Studies, Anthropology, and Religious Studies students will examine 
the social conditions and lived realities reflected in contemporary Latinx religious and spiritual 
practices, and their Mesoamerican and ancestral origins and influences. Topics include folk 
healing/curanderismo, indigenous and feminist spiritualities, social movements and religion, spiritual 
activism, environmental justice, embodied and spiritual knowledge, and their intersections with race, 
ethnicity, gender, class, and sexuality. Contributes to Anthropology, Environmental Studies, 
International Studies, Latin American and Border Studies, and Race and Ethnicity Studies/GroupTheme Course. Prerequisite: Feminist Studies 04-104, Anthropology 35-104, or Sociology 34-264. 
(ScS) (SJ)"
04-284,TOPICS IN FEMINIST THEORY,4,"Using an interdisciplinary framework, this course traces key 
debates in contemporary feminist theory. Areas of concentration might include theories of the body, 
queer theory, migration and borders, critical race theory, or methodology. (ScS)"
04-364,CHICANA FEMINISMS,4,"This course traces the historical development of Chicana feminism from 
the indigenous lineage of Mexican-origin women in Mesoamerica to the contemporary period, with a 
focus on the emergence of Chicana feminist thought and praxis during the U.S. Civil Rights Era. 
Students will explore scholarship, research methods, and ways of knowing within the interdisciplinary 
field of Chicana/Latina Studies in their examination of lived experiences that reside at the intersection 
of race, ethnicity, gender, class, and sexual orientation. Topics include the cultural arts, education, 
feminism and archives, historical representation, social and spiritual activism, embodied knowledge, 
and creative forms of resistance to patriarchy and oppression. Contributes to Anthropology, Latin 
American and Border Studies, and Race and Ethnicity Studies/Group-Theme Course. Prerequisite: 
Feminist Studies 04-104, Anthropology 35-104, or Sociology 34-264. (ScS) 
History (HIS)"
16-024,EMPIRES AND EMPIRES OF THE MIND IN WORLD HISTORY,4,"This course traces the evolution 
of a variety of empires (real or imagined), from the pre-Columbian indigenous, Iberian, French, 
British, and Dutch empires through the Age of Revolutions, the rise of industry, capitalism, nationalist 
movements, World Wars, and communism. We will conclude with the process of decolonization and 
the possible development of an “American Empire"" and other new kinds of empires. “Empires,” very 
broadly construed, will be our lens to interpret world history. Contributes to Design Thinking and 
International Studies (Annually) (H)"
16-034,NATIONS AND NATIONALISM IN WORLD HISTORY,4,"This course investigates the development 
of national identities around the world and the nationalisms that describe or defend them. We explore 
how nations are defined, whether nations are natural expressions of human community, why 
nationalism has often led to violence, and what the future may be for the nation-state. Contributes to 
International Studies, and Race and Ethnicity Studies/Allied Course. (Annually) (H) (WA)  
128"
16-044,SILK ROADS IN WORLD HISTORY,4,"This course introduces the world of premodern Eurasia by 
tracing transregional connections from the domestication of the horse by Inner Asian nomads to the 
Eurasian conquest of the Mongol Empire. We discuss mass migrations, individual travels, military 
conquest and virus transmission, as well as arenas of interaction such as monasteries, courts, ships, 
and caravans. By tracing objects, stories, and ideas, this class explores the Silk Road, a pre-Columbus 
global network of exchange, and other ""Silk Roads,"" to uncover world history as a network of 
overlapping links rather than a collection of national narratives. Contributes to International Studies. 
(Annually) (H)"
16-094,TOPICS IN WORLD HISTORY,4,"This course offers an alternative thematic approach to the study of 
societies, cultures, and civilizations around the world and their interactions. May be repeated with 
change in topic. Contributes to International Studies.  (Biennially) (H) (WA)"
16-204,HISTORY OF AFRICA,4,"This survey is an introduction to African cultures and history from pre-
colonial times to the present, emphasizing Africa’s variety and its connections to other parts of the 
world. Topics include: environmental challenges; pre-colonial social and political organization; the 
spread of Islam and Christianity; the impact of the Atlantic slave trade; conquest and resistance; social 
change under colonial rule; decolonization; neo-colonialism and postcolonial challenges. Contributes 
to International Studies, and Race and Ethnicity Studies. (Biennially) (H)"
16-234,HISTORY OF COLONIAL LATIN AMERICA,4,"A time of collisions, encounters, and rebellions, 
Colonial Latin America explores the individual, social, cultural, and political experiences of Africans, 
Europeans, and Native Americans between the apogee of the Aztecs, Incas, and Mayas and the Creole 
wars of independence of the 19th century. By examining pre-Colombian states, early European 
explorations, la conquista, the settlement of mostly Spanish but also Portuguese and other European 
colonies, and the responses of a diverse group of local inhabitants, this course explores the complex 
societies that resulted from the growth and end of global empires and that shaped the future of this 
diverse region. Contributes to Early Modern Studies, Health Studies, International Studies, Latin 
American and Border Studies, and Race and Ethnicity Studies/Group-Theme Course.  (Biennially) 
(H)"
16-244,HISTORY OF MODERN LATIN AMERICA,4,"After their independence in the early 19th century, 
Latin American countries faced the challenge to become nations. This course surveys the many paths 
that these countries followed, including the rise of nationalism and its overcoming by the neocolonial 
order, the revolutionary option in Mexico, Cuba, and Nicaragua during the 20th century, the 
authoritarian responses to national discontent, and the rise of neoliberalism. It also explores how these 
trends transformed the society, culture, economy, and policies at the local level in response to both 
national and international influences. Contributes to International Studies, Latin American and Border 
Studies, and Race and Ethnicity Studies/Group-Theme Course. (Biennially) (H)"
16-254,HISTORY OF EARLY MODERN EUROPE,4,"This course explores and questions the concept of the 
“early modern” period of European history, from the close of the fifteenth to the dawn of the 
nineteenth century. Students will examine political, cultural, and intellectual developments from the 
period of feudalism to the “modernity” ushered in by Atlantic-wide revolutions. The course will 
examine Renaissance art and theory, Reformation and confessional tumult, sovereignty and 
expansion. Contributes to Early Modern Studies and International Studies (Biennially) (H)  
129"
16-264,HISTORY OF MODERN EUROPE,4,"This course surveys the history of Europe from the late 
eighteenth century revolutions through the creation and expansion of the European Union. We explore 
social, political, intellectual, and cultural developments, paying particular attention to reform 
movements and revolutions. The course tracks shifting ideas of gender, race, and class, as well as 
examining Europe’s role in the world. Contributes to Data Analytics, Data Science, Feminist Studies, 
and International Studies.  (Biennially) (H)"
16-294,TEXAS HISTORY,4,"This course explores major social, political, economic, and cultural developments 
in the history of Texas from contact through World War II. Focusing particular attention on the 19th 
century, it places the development of the borderlands region at the intersection of various European, 
North America, and Native American powers, emphasizing the continued importance of transnational 
currents in the making of a multi-ethnic and multi-cultural Texas into the twentieth century. 
Contributes to Latin American and Border Studies. (H)"
16-314,TOPICS IN AFRICAN HISTORY,4,"Thematic courses with a focus on African history. May be 
repeated with change in topic. Contributes to International Studies.  (H)"
16-324,TOPICS IN ASIAN HISTORY,4,"Thematic courses with a focus on Asian history. May be repeated 
with change in topic. Contributes to East Asian Studies and International Studies. (H)"
16-334,TOPICS IN LATIN AMERICAN HISTORY,4,"Thematic courses with a focus on Latin American 
history. May be repeated with change in topic. (H)"
16-344,TOPICS IN EUROPEAN HISTORY,4,"Thematic courses with a focus on European history. May be 
repeated with change in topic. Contributes to International Studies. (H)"
16-374,TOPICS IN TRANSREGIONAL HISTORY,4,"Thematic courses with a comparative or transregional 
theme (covering at least three different world regions). May be repeated with change in topic. 
Contributes to International Studies. (H)"
16-404,LATIN AMERICAN HISTORY IN FILM AND LITERATURE,4,"Latin America is a complex 
territory and an idea suspended between the extremes of despair and hopefulness. Telling its history 
poses many challenges to the academic historian. Often the history of the land and its people is better 
expressed in the work of artists, writers and filmmakers. This course ventures into the magical 
relationships between the artist and that enigmatic territorial and spiritual landscape extending from 
the Rio Bravo to Tierra del Fuego. Contributes to International Studies, Latin American and Border 
Studies, and Race and Ethnicity Studies/Group-Theme Course.  (Biennially) (H) (SJ)"
16-414,THE MEXICAN REVOLUTION,4,"The Mexican Revolution was a fiesta of bullets that transformed 
Mexico and launched the 20th century. Using the Mexican Revolution as the event that shaped 
Mexican history throughout the 20th century, this course examines the conditions that mobilized 
Mexican such as Madero, Zapata, and Villa into a civil war in 1910 and that ended up with a new 
Constitution in 1917, the challenges, successes, and failures to create institutions that implemented the 
130 
 
revolutionary values during the 1920s and 30s, and the value of the Revolution to promote social and 
political change in the second half of the 20th century.  Contributes to International Studies, and Latin 
American and Border Studies. (Biennially) (H) (SJ)"
16-454,HISTORY OF THE CIVIL RIGHTS MOVEMENT,4,"This course explores the history of the Black 
Freedom struggle in the twentieth century United States. Moving beyond the classic “Heroic Era” of 
the civil rights (from Brown v. Board of Education to the Voting Rights Act), it examines social, 
cultural, and political protests from the consolidation of Jim Crow through founding of Black Lives 
Matter. Contributes to Feminist Studies and Race and Ethnicity Studies/Group-Theme Course. 
(Biennially) (H) (SJ)"
16-474,SPORT AND SOCIETY IN MODERN AMERICA,4,"This course uses the social, cultural, and political 
history of sport to examine American history from the 1830s to the present. It considers the 
emergence and development of modern athletics in connection to broader questions of gender and 
sexuality, masculinity and femininity, labor and politics, race and ethnicity, immigration and 
Americanization. Contributes to Applied Movement and Sport Studies, Exercise Sport Studies, 
Feminist Studies, Health Studies, and Race and Ethnicity Studies/Allied Course. (Biennially) (H)"
16-514,MODERN FRANCE AND EMPIRE,4,"This course investigates French history from 1789 to the 
present, charting political, social, and cultural developments within France and determining the extent 
to which these altered, or were influenced by, events outside the borders of the “hexagon”—in the 
Empire or in foreign relations. The course pays particular attention to attempts to define French 
identity within a global context. Contributes to Design Thinking and International Studies.  
(Biennially) (H) (SJ)"
16-544,HISTORY OF HUMAN RIGHTS,4,"This course places contemporary human rights debates within a 
long historical context, from Classical and religious traditions, through the Enlightenment, the 
abolition of slavery, and the growth of socialism, to the signing of the Universal Declaration of 
Human Rights in 1948, the movements for decolonization, and the present day. We track the gradual 
expansion of notions of “rights,” as well as changing understandings of who counts as “human.” The 
course includes discussions of political rights, social and economic rights, women’s rights, minority 
rights, cultural rights, and environmental rights (among many others). Contributes to Data Science, 
Feminist Studies, and International Studies.  (Biennially) (H) (SJ)"
16-604,SCIENCE AND ITS PUBLICS,4,"This course explores the relationship between science, technology, 
and medicine and their publics since the Early Modern period to our recent past. Drawing from case 
studies that examine the role of scientific societies, formal education, textbooks, popular literature, 
publicity, and other formal and informal means to disseminate knowledge, students will understand 
the changing relationship between science and the public sphere, the role that the popularization of 
science plays in democratic societies, and the impact of popular science and the public perception of 
science in the production of new scientific knowledge. Contributes to International Studies. 
(Biennially) (H)"
16-624,HISTORY OF THE ISLAMIC WORLD,4,"This course traces the development of Islamic societies and 
cultures throughout the world from Mohammad’s seventh-century revelations to the present. Topics 
include Islamic empires, relations with other groups, art and architecture, science and philosophy, 
evolution and adaptation. Contributes to International Studies. (H)"
16-854,HISTORIOGRAPHY,4,"A study of the concept of history, the history of historical writing, the major 
schools of historical interpretation today and the relation of history to the philosophy of history. 
Prerequisite: 16-014, 16-024, 16-034, 16-044, or 16-094; and must have junior status or permission of 
instructor. (Fall) (H) (WA)"
16-864,RESEARCH SEMINAR,4,"Topics, which change from semester to semester, include: History and 
Memory, Transnational Histories, and Science, Society, and the State. Prerequisite: History 16-854. 
(Spring) (H) (WA)"
"16-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"16-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in topic.
"16-901, 902, 903, 904",TUTORIAL,4,"16-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F."
"16-951, 952, 953, 954",INDEPENDENT STUDY,4,"May be repeated with change in content. 
132"
16-984,HONORS,4,By invitation only.
48-112,EXPLORATIONS IN KINESIOLOGY,2,"This course will introduce students to the field of 
kinesiology including fundamental components of health, wellness, and physical activity. Additional 
topics will include the history, future, and professional opportunities within the sub-disciplines: 
exercise physiology, biomechanics, sports nutrition, and motor behavior. Contributes to Applied 
Movement and Sport Studies."
48-121,STRUCTURAL KINESIOLOGY,1,"This laboratory course will provide an opportunity for students to 
develop an applied understanding of human anatomy and physiology with a focus on the 
musculoskeletal system as it relates to kinesiology, health, and wellness. Strongly encouraged to be 
taken concurrently with 48-123. Contributes to Applied Movement & Sport Studies, Exercise & Sport 
Studies, Health Studies and Neuroscience. (Fall and Spring) (NS)"
48-123,HUMAN STRUCTURE AND FUNCTION,3,"This course will provide an overview of human 
anatomy and physiology with a particular focus on organ systems and functions related to 
kinesiology, exercise, and health and wellness. Strongly encouraged to be taken concurrently with 48-
121.  Contributes to Applied Movement & Sport Studies, Exercise & Sport Studies, Health Studies 
and Neuroscience. (Fall and Spring) (NS)"
48-202,METHODS OF COACHING,2,"This course presents the theories and techniques of coaching selected 
individual and team sports in educational and recreational settings. Contributes to Applied Movement 
& Sport Studies and Exercise & Sport Studies."
48-212,PHILOSOPHY OF COACHING,2,"This course focuses on developing general and sport-specific 
coaching philosophies. Topics include coaching roles, team management, relationships with 
constituency groups, various philosophies and theories, as well as the importance of coaching tenets. 
Contributes to Applied Movement & Sport Studies and Exercise & Sport Studies."
48-214,RESEARCH METHODS IN KINESIOLOGY,4,"This course covers the basic concepts of research 
methods used in the discipline of kinesiology. It is designed to help students think critically, to give 
students hands-on experiences with research design, data analysis and interpretation, and to report 
results to a professional audience. Contributes to Data Analytics, Data Science, and Exercise and 
Sport Studies. Prerequisite: Mathematics 52-114 or permission of instructor. (Fall and Spring) (NS) 
(WA)"
48-224,CARE AND PREVENTION OF ATHLETIC INJURIES,4,"This course provides an overview of allied 
health professions, common sport and fitness-related injuries/conditions, preventative measures, and 
primary means of treatment for these injuries. Topics covered include epidemiology, athletic 
injuries/conditions, injury prevention variables, and healthcare ethics. In addition, the course 
discusses essential prevention, evaluation, and care techniques for the most common injuries in the 
athletic setting.  Hands-on skills including splinting, taping, and bracing will be taught.  Students 
must complete observation hours with a local licensed athletic trainer during the semester. 
Contributes to Applied Movement & Sport Studies and Exercise & Sport Studies. Prerequisite: 
Kinesiology 48-121 or permission of instructor. (Spring)"
48-234,HEALTH AND FITNESS CONCEPTS,4,"Students are presented current scientific information 
concerning the roles of physical activity, nutrition, and life choices in healthy living. Emphasis is 
placed on incorporating this information into a lifestyle that will produce lifelong optimal health. In 
addition, issues related to the impact of health-related diseases on society are discussed. Contributes 
to Applied Movement & Sport Studies, Exercise & Sport Studies, and Health Studies. (Fall and 
Spring) (NS)"
48-244,STRESS MANAGEMENT,4,"This course is designed to provide methods and content whereby 
students may discover their stressors and assemble appropriate tools to help them avoid, alleviate, or 
rebound from stress more effectively. This class will expose the students to a holistic approach to 
stress management with an emphasis on the relationship between lifestyle habits and health. Students 
will learn both cognitive skills and relaxation techniques with the intention of preventing and/or 
alleviating the physical symptoms of stress. This interactive course will consist of both lecture and 
lab. Contributes to Exercise and Sport Studies, and Health Studies."
48-251,INTEGRATIVE APPROACH TO HUMAN ANATOMY AND PHYSIOLOGY I,1,"This laboratory 
course will provide students with an opportunity to design, execute, and analyze experiments which 
examine the structure and function of the human body. Experiments and activities include application 
and critical evaluation of human anatomy and physiology in health and disease corresponding with 
the topics in Human Anatomy and Physiology I. Also Biology 50-251. Contributes to Health Studies. 
Prerequisites: Kinesiology 48-123/121. To be taken concurrently with 48-253. (Fall) (NS)"
48-253,HUMAN ANATOMY AND PHYSIOLOGY I,3,"This is the first of a two-course sequence in the study 
of human anatomy and physiology. This course is a detailed, systematic study of the structure and 
function of the human body with an additional focus on integrative physiology. This first course 
specifically examines cells, tissue histology, and the detailed anatomy and physiology of the nervous, 
endocrine, integumentary, skeletal, muscular, cardiovascular, and lymphatic systems. Integrative 
topics include homeostasis, control systems, reflexes, body movement control, and blood pressure.  
Also Biology 50-253.  Contributes to Health Studies. Prerequisites: Kinesiology 48-123/121. To be 
taken concurrently with 48-251. (Fall) (NS) 
143"
48-261,INTEGRATIVE APPROACH TO HUMAN ANATOMY AND PHYSIOLOGY II,1,"This laboratory 
course will provide students with an opportunity to design, execute, and analyze experiments which 
examine the structure and function of the human body. Experiments and activities include application 
and critical evaluation of human anatomy and physiology in health and disease corresponding with 
the topics in Human Anatomy and Physiology II.  Also Biology 50-261. Contributes to Health Studies 
and Neuroscience. Prerequisites: Kinesiology 48-253/251 or Biology 50-253/251.  To be taken 
concurrently with 48-263.  (Spring) (NS)"
48-263,HUMAN ANATOMY AND PHYSIOLOGY II,3,"This is the second of a two-course sequence in the 
study of human anatomy and physiology. This course is a continuation of the systematic study of the 
structure and function of the human body with an additional focus on integrative physiology. This 
second course builds upon content from Human Anatomy and Physiology I, adding to cell and tissue 
histology knowledge, and specifically examines the detailed anatomy and physiology of the 
respiratory, urinary, digestive, immune, and reproductive systems. Additional integrative topics 
include gas exchange and transport, fluid and electrolyte balance, metabolism, exercise, and 
endocrine control of growth and metabolism. Also Biology 50-263. Contributes to Health Studies and 
Neuroscience. Prerequisites: Kinesiology 48-253/251 or Biology 50-253/251.  To be taken 
concurrently with 48-261.  (Spring) (NS)"
48-274,FUNDAMENTALS OF MOVEMENT ANALYSIS,4,"An introductory course to develop observational 
and analytical skills as they relate to human movement. Emphasis is placed on developing a 
systematic approach to analysis. Students will use these skills (with emphasis placed on video 
analysis) to evaluate fundamental movement patterns including gait, jumping, throwing, catching and 
striking. Contributes to Applied Movement & Sport Studies and Exercise & Sport Studies."
48-284,EDUCATION OUTREACH FOR PHYSICAL ACTIVITY AND HEALTH,4,"The purpose of this 
course is to build and expand on students' existing health and physical activity knowledge and 
enhance their abilities to communicate that knowledge with the general public. The course will focus 
on engaging the local community with evidence based educational outreach activities to promote 
health and well-being."
48-294,COMPARATIVE PHYSIOLOGY OF EXERCISE,4,"A comparative and integrative approach to 
athletic performance and environmental adaptations to highlight the anatomical and physiological 
similarities and differences between humans and other animal species. Contributes to Animal Studies.  
(NS)"
48-314,PSYCHOSOCIAL ASPECTS OF PHYSICAL ACTIVITY,4,"This course examines the psychosocial 
benefits of physical activity, specifically focusing on the promotion and maintenance of leisure-time 
physical activity. Theories of motivation, behavior change and physical activity intervention 
techniques as well as the importance of exercise for mental health will also be discussed. Prerequisite 
Kinesiology 48-234, and either Kinesiology 48-214, or Psychology 33-214 or Biology 50-232."
48-324,MOTOR LEARNING AND MOTOR CONTROL,4,"This course is a study of the factors affecting the 
learning and control of motor skills. Emphasis is given to information processing, motor 
programming and motor skill analysis. Study is centered upon understanding and application of 
conceptual frameworks that include open and closed looped models. Contributes to Exercise and 
Sport Studies. Prerequisite: Kinesiology 48-123/121 and Kinesiology 48-214, or permission of 
instructor. (Spring) (NS)"
48-334,PHYSIOLOGY OF EXERCISE,4,"This course focuses on musculoskeletal, nervous, cardiorespiratory, 
and endocrine systems as they relate to aerobic and anaerobic exercise and the metabolic response. 
Emphasis will be placed on the adaptations of these systems to training. Lab required. Contributes to 
Exercise and Sport Studies, and Neuroscience. Prerequisites: Kinesiology 48-123/121, and 
Kinesiology 48-214, or permission of instructor. (Fall) (NS)"
48-344,BIOMECHANICS,4,"This course is the study of basic anatomical and mechanical principles applied to 
human movement. Emphasis is placed on kinematic and kinetic concepts and the use of computerized 
movement analysis. Lab required. Contributes to Exercise and Sport Studies. Prerequisites: 
Kinesiology 48-123/121 and Kinesiology 48-214, or permission of instructor. (Spring) (NS)"
48-374,NUTRITIONAL SCIENCES,4,"This course examines the physiological and cellular functions of 
energy macronutrients and micronutrients. Topics include metabolism and energy balance, life cycle 
nutrition, nutrition for athletic performance, and the function of nutrients as they relate to human 
health and disease. Prerequisite: Kinesiology 48-234, or permission of instructor. Contributes to 
Applied Movement & Sport Studies, Exercise & Sport Studies, and Health Studies. (NS) 
144"
48-394,SEMINAR IN KINESIOLOGY,4,"This course is designed to investigate special topics or problems of 
interest in kinesiology. Areas of study will be selected by both instructor and students with students 
taking an active role as both learners and teachers. Prerequisites: Kinesiology 48-214, and at least one 
of the following: Kinesiology 48-324, 48-334, or 48-344, or permission of instructor."
48-424,HEALTH PROMOTION AND PROGRAMMING,4,"Introduction to concepts of program planning for 
health education in the community. The purpose of this course is to provide students with the skills 
needed to develop, implement and evaluate health promotion programs with a special emphasis on 
behavior change initiatives. Contributes to Applied Movement & Sport Studies, Exercise & Sport 
Studies, and Health Studies.  Prerequisite: Kinesiology 48-234 and 48-214."
48-444,EXERCISE PRESCRIPTION,4,"This course is the study of current practices related to fitness 
assessment and exercise prescription. Emphasis is placed on the collection of data from fitness testing 
and the design of personalized exercise programs. Contributes to Exercise and Sport Studies. 
Prerequisites: Kinesiology 48-214 and 48-334. (Spring) (NS)"
48-454,TISSUE MECHANICS,4,"This is an advanced course that explores the anatomical structure and 
physiological and mechanical function of tissues within the body including bone, cartilage, tendons, 
ligaments, nerves and muscle. Special attention is given to mechanical testing of these materials with 
application of this information to the study of injury mechanisms and diseases of these tissues. Also 
Biology 50-454. Contributes to Health Studies. Prerequisites: Kinesiology 48-123/121, and either 
Kinesiology 48-344 or Physics 53-154, or permission of instructor. (NS)"
48-474,MUSCLE PHYSIOLOGY,4,"This course is designed to enhance the student’s knowledge of the field 
of muscle physiology. The course focuses on the functional properties of skeletal muscle as it impacts 
health and performance in normal and pathological situations with specific emphasis on cellular and 
molecular regulators of skeletal muscle adaptations. Contributes to Exercise & Sport Studies. 
Prerequisite: Kinesiology 48-253/251, Biology 50-253/251, or Biology 50-424. (NS)"
48-481,INTRODUCTION TO CAPSTONE,1,"This is the first of two courses in the research capstone 
sequence. In this course a student will develop a laboratory or field-based research experience that 
includes hands-on experience directed toward answering questions related to kinesiology. In this 
writing-intensive course, students work directly with a faculty member to develop a research proposal 
and obtain university approval for human participant research, if necessary.  Prerequisites: 
Kinesiology 48-214, and either 48-334 or 48-344. (Spring) (WA)"
48-483,EXPERIENTIAL CAPSTONE IN KINESIOLOGY,3,"This is the second of two courses in the 
capstone sequence in which the student will complete a field-based research project as proposed in"
48-493,EXPERIMENTAL CAPSTONE IN KINESIOLOGY,3,"This is the second of two courses in the 
capstone sequence in which the student will complete a laboratory research project designed to 
provide hands-on experience directed toward answering a question related to kinesiology. In this 
course, students will collect and analyze experimental data for their capstone projects as proposed in"
"48-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"48-301, 302, 303, 304",SELECTED TOPICS,4,"May be repeated with change in topic. Prerequisite: Permission of department 
chair."
"48-901, 902, 903, 904",TUTORIAL,4,"48-941, 942, 943, 944 
ACADEMIC INTERNSHIP. This is a career-related course arranged to meet the interests of the 
student. Students must obtain approval of the supervising faculty member the semester prior to taking 
this course. Must be taken Pass/D/F."
"48-951, 952, 953, 954",INDEPENDENT STUDY,4,"May be repeated with change in content. Students must obtain approval of 
the supervising faculty member the semester prior to taking this course."
48-984,HONORS,4,"By invitation only. 
Chinese (CHI)"
22-204,STORIES IN CHINESE,4,"This course facilitates through narrative the development of novice to 
intermediate proficiencies. It provides opportunities to critically engage with written accounts of 
contemporary China, express personal opinions, and persuade others by writing stories. Students 
begin to engage with contemporary sociocultural issues as well as literary and functional texts. 
Contributes to East Asian Studies and International Studies. Prerequisite: Chinese 22-164 or 
equivalent placement. (Spring) (H)"
22-344,ENVIRONMENTAL TEXTS IN CHINESE,4,"This course works through a series of native texts to 
identify the cultural and linguistic foundations for addressing the environment in Chinese 
communities.  Language acquisition is the primary objective, including terms and grammatical 
structures, but we also explore connections between structure and context.  Texts include a wide range 
of sources, from traditional literature to contemporary blogs and magazines.  Students learn to work 
through native texts to find patterns and implicit connections to the natural world.  Contributes to East 
Asian Studies and International Studies. Prerequisite: Chinese 22-204, or equivalent placement. (H) 
(Fall, even years)"
22-354,CHINESE IN MODERNIST CONTEXT,4,"This is a language course on a native colloquial text 
(everyday spoken language) which features significant modernist issues of imperialism and cultural 
appropriation and exchange.  The text is the graphic novel (or comic book) by Hergé, Tin Tin’s “Blue 
Lotus” adventure, set in 1937 Shanghai, in Chinese translation. This course facilitates discussion with 
issues of modernism, cultural appropriation and imperialism while developing proficiency language 
skills.  In addition, this course develops skills in intercultural research and analysis. Contributes to 
153 
 
East Asian Studies and International Studies. Prerequisite: Chinese 22-204, or equivalent 
placement.(H) (Spring, odd years)."
22-374,LEARNING CHINESE THROUGH POETRY,4,"This course strengthens fundamental language 
structure through analysis of the word order of Classical Chinese poetry.  The course takes small 
incremental steps to learn how words and phrases are combined in poetic language, which applies 
directly to modern spoken Chinese.  Students incidentally learn Chinese poetic traditions and its 
relevance to contemporary expression and culture.  This course strengthens all aspects of language 
proficiency and clarifies the ways words and phrases form common everyday expressions.  Improves 
reading and writing abilities. Contributes to East Asian Studies and International Studies. 
Prerequisite: Chinese 22-204, or equivalent placement.(H) (Fall, odd years)"
"22-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"22-301, 302, 303, 304",SELECTED TOPICS,4,"May be repeated with change in topic. Contributes to East Asian Studies and 
International Studies. Prerequisite: Chinese 22-204 or equivalent placement."
"22-901, 902, 903, 904",TUTORIAL,4,"22-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F."
"22-951, 952, 953, 954",INDEPENDENT STUDY,4,"May be repeated with change in content. 
Classics (CLA)"
