code,title,credit_hours,description
COM 2317,Cinema and Religion,2,"A course designed to enable students to recognize mythic structures in contemporary film and 
compare and contrast them to the central themes of Christianity and the Lutheran Ethos, including 
original sin, mercy, grace and redemption.  NOTE:   Lengths of films vary, and it is important to 
examine each in its entirety. The student should be prepared to participate in a 45 minute 
discussion after the end of each film shown, regardless of length.

Prerequisites: None. Course Fee $50

Corequisites: "
COM 2319,Digital & Media Literacy,2,"In this course students will explore the current media landscape from a critical perspective, 
examine its effects on social institutions and interpersonal relationships, and evaluate the role of 
media literacy in forging a healthier communication climate. Students will learn to engage media 
critically, thereby becoming better informed citizens.

Prerequisites: None

Corequisites: "
COM 3304,Group Dynamics,3,"Theory and practice in group communication: goal setting, problem solving, listening, feedback, 
and leadership. Cross-listed as PSY 3304.

Prerequisites: COM 1300.

Corequisites: "
COM 3308,Persuasive Communication,3,"Theory and practice of personal and public persuasion with an emphasis on how to change 
attitudes, understand purchasing behavior, and increase influence.

Prerequisites: None

Corequisites: "
COM 3310,Public Relations,3,"An introduction to the basics of public relations including best practices, case studies, and ethical 
concerns. It includes a study of the application of new media communication to the art of public 
relations.

Prerequisites: None

Corequisites: "
COM 3320,Media Law and Ethics,3,"Development of and rationale for constitutional protections, legal regulations, and ethical 
responsibilities of the mass media in the United States

Prerequisites: None

Corequisites: "
COM 3325,Interpersonal Relationships,3,"Investigation into the communication and psychology of family dynamics, friendships, and romantic 
partners. One goal of this course will be to understand our own relationships and seek to improve 
them.   Cross listed with PSY 3325

Prerequisites: PSY 1311

Corequisites: "
COM 3331,Organizational Communication,3,"A study of communication theories and their application for organizations.  Students will develop 
leadership skills in identifying and resolving communication barriers that inhibit efficient 
organizational performance.

Prerequisites: None

Corequisites: "
COM 3335,Intercultural Communication,3,"Course explores communicating from one culture to another and will include worldview, religion, 
values, language, nonverbal communication, context and other topics related to becoming a 
competent communicator in cross-cultural situations.  The course will require the student to spend 
time in a culture different from their own.

Prerequisites: None

Corequisites: "
COM 3340,Visual Communication Design,3,"Explore major theoretical and practical approaches to the creation and analysis of visual images. 
This course will help students develop their visual literacy skills by teaching them to critically 
evaluate and responsibly construct visual arguments. Students will hone their visual literacy skills 
by developing a basic understanding of the physical and cognitive processes of visual 
communication, the elements of visual language, and the principles of visual organization that can 
affect perception.

Prerequisites: None

Corequisites: "
COM 3350,Conflict Resolution,3,"Systematic and critical understanding of communication theory and research focused on conflict 
across various contexts.  Application of communication strategies as practical tools for the analysis, 
management, and resolution of conflict within a broad range of complex interactions.

Prerequisites: None

Corequisites: "
COM 3360,Topics in Communication,3,"Examination of particular trends, contemporary challenges, developing contexts, and emerging 
technologies relevant to the study of communication and not already a central focus of the existing 
courses in the Communication major.  While the topics will vary, each will provide a focused 
compliment (depth) to other courses that provide a more general perspective (breadth).  This 
course may be repeated for credit when topic is different.

Prerequisites: None

Corequisites: "
COM 3370,Health,3,"A fascinating study of communication in the field of health; focusing on the origins and theories of
health communication, and exploration of the complexities inherent in both verbal and nonverbal 
communication, and health messaging. Additional focus will be on several contemporary areas within the field of health communication research and practice. Cross-listed as PUBH 3370. Pre-Requisites: None
COM 3398 National/International Studies  
A travel course to immerse the student in real-world contexts where students can observe and 
analyze communication practices in various settings.

Prerequisites: Consent of instructor. Course Fee: Varies by travel course.

Corequisites: "
COM 4301,Digital Journalism and New Media Communication,4,"In an effort to remain relevant, news organizations have had to embrace emerging technologies and 
social media as a means of delivering content and engaging audiences. This course studies the 
practice of digital journalism through visual storytelling techniques. Students not only learn the 
basics of digital audio, video, and image production and editing but also explore topics such as how 
to engage online audiences, how to write and optimize content for search engines, and how to 
measure performance across various platforms.

Prerequisites: None

Corequisites: "
COM 4310,Communication Internship,4,"Supervised experience working with communication professionals in production, public relations, 
or other communication-related fields.  Fulfills Experiential Learning requirement.

Prerequisites: Junior or Senior Level Standing

Corequisites: "
COM 4340,Visual Production & Design,4,"Introduces students to a range of creative software for graphic design, visual layout, and audio and 
video editing. In this course students will study the creative, technical and production elements 
required to produce visuals for a variety of print and digital media. Students will learn to create 
visual communication materials and marketing collateral including flyers, new packages, podcasts 
and ads.

Prerequisites: None

Corequisites: "
COM 4350,Communication Capstone,4,"This course assists students in transitioning from their Communication major to a being a 
professional in the communication field, and is required of all graduating Communication majors. 
Students will complete on-campus projects in the three concentrations offered alongside the 
Communication major: interpersonal communication, public relations and advertising, and visual 
communication. Additionally, students will utilize the knowledge and skills learned in other courses 
to build their network, working with a professional mentor, and explore job opportunities.

Prerequisites: Senior level/standing (90+ completed hours).

Corequisites: "
COM 4351,Advertising Management,4,"Through projects and texts, students will develop an understanding of the creation of effective 
advertising, media planning and budgeting, and advertising strategy as it relates to the overall 
marketing mix and strategic plan of the organization, with special emphasis on advanced 
copywriting and layout, for print and broadcast media. Cross listed with BADM 4351.

Prerequisites: BADM 3313, BADM 3350

Corequisites: "
CIS 1300,Technology of the Digital Age,1,"This course is an introduction to digital computing, including study of how computers organize, 
transmit, and process information. Students will consider the ethical, cultural, and legal issues 
surrounding technology, as well as concepts and tools underlying the web and computer programs. 
This course satisfies the Technology component of the CTX Common Experience.  
CSC 1401 Introduction to Computer Science I 
The course introduces a broad overview of computer sciences topics: data storage, computer 
architecture, networking programming concepts, algorithms, and security.  Translate problems into 
algorithms and implement using Python with basic Python programming skills pertaining to 
variables, data types input/output, control flow, sequences and functions.

Prerequisites: Eligible for Lower College Entry Level Math. Course Fee: $75

Corequisites: "
CSC 1402,Introduction to Computer Science II,1,"In this course program design, write, test and debug using Python. Program design includes 
complex data structure like lists, sets, dictionaries, and libraries.  Write scripts for productivity and 
advanced structured programs using control statements, functions, modules, file I/O, exceptions, 
and string data types.  Review and implement Python programming using object-oriented 
programming.

Prerequisites: CSC 1401 or consent of instructor. Course Fee: $75

Corequisites: "
CSC 1410,Introduction to Geographic Information Systems,1,"Introduction to geographic information systems (GIS) and global positioning systems (GPS) for use 
in data analyses in the sciences and social sciences. Units on basic GIS and cartographic design, 
internet mapping, cell phone applications, and GPS data collection. This course satisfies the 
Common Experience Technology requirement, however it does not fulfill the Common Experience 
Natural Science with Lab requirements. Cross-listed with ESC 1410.

Prerequisites: None

Corequisites: "
CSC 2305,Discrete Structures,2,"This course is an analysis of the basic structures that form the foundations of mathematics and 
computer science including statements, sets and subsets, number sets, sequences, relations, 
orderings, partitions, functions, graphs, and trees.  Structures defined through induction and 
recursion, including introduction to the solutions of recurrence relations are addressed.  Emphasis 
will be on formal logical and combinatorial proof.  Cross-listed with MTH 2305 Discrete Structures.

Prerequisites: CSC 1401 with a grade of “C” or higher.  Also MTH 1352 with a grade of ‘C’ or higher or

Corequisites: "
CSC 2306,Business of Software Development,2,"This course explores the business context and financial considerations of software development 
and infrastructure decisions for a software company.  Additional topics include an overview of 
different business models for SaaS, Mobile, and On-Premise solutions as well as partnership models 
to develop and sell software products.

Prerequisites: None

Corequisites: "
CSC 2403,Data Structures & Algorithm Analysis,2,"A course in data structures and algorithms. Topics include linked lists, stacks, queues, priority 
queues, binary trees, search algorithms, sort algorithms, graph algorithms, Recursion, and algorithm 
efficiency analysis.

Prerequisites: Must have completed or be co-enrolled in CSC 1402. Course Fee: $75

Corequisites: "
CSC 3303,Computer Architecture,3,"An introduction to the architectural features of single-processor (Von Neumann or SISD) 
computers.

Prerequisites: None. Course Fee: $75

Corequisites: "
CSC 3304,Networking: Theory and Applications,3,"Understanding networks topologies, protocols, hardware and software. A hands-on approach to 
security, protection and management. Distributed applications and migrating different platforms are 
also discussed.

Prerequisites: CSC 3302 and CSC 3303 or consent of instructor.

Corequisites: "
CSC 3305,Database Design and Analysis,3,"Principles for the design and management of database systems. Data and storage models, relational 
and hierarchical data models will be studied. Other topics include: normalization forms, canonical 
schema representations, data integrity and file security techniques.

Prerequisites: CSC 1402 or consent of instructor. CSC 2305 is recommended.

Corequisites: "
CSC 3306,Human Computer Interaction,3,"This course will introduce the human factors area of computer science examining success (and 
failures) and current work in the subject area.

Prerequisites: CSC 1402 or consent of instructor

Corequisites: "
CSC 3307,Artificial Intelligence,3,"An introduction to the basic concepts and techniques of artificial intelligence using the 
programming language LISP. Topics covered include natural languages, vision systems, search 
strategies and control, with an emphasis on representation.

Prerequisites: CSC 1401 and CSC 2403 or consent of instructor

Corequisites: "
CSC 3308,Computer Graphics,3,"An introduction to the generation and manipulation of graphical images on computer displays. 
Topics include representation of curves and surfaces, 2D and 3D transformations, hidden edge and 
surface elimination, and shading.

Prerequisites: CSC 1402, MTH 2402, and MTH 3311 or consent of instructor.

Corequisites: "
CSC 3309,Numerical Analysis,3,"Algorithms of numerical analysis are covered. Topics include floating point arithmetic, 
approximation, numerical integration and differentiation, solution of nonlinear equations, and 
solution of ordinary differential equations. Programming assignments will give experience in 
applying selected algorithms.

Prerequisites: CSC 1402 and MTH 2402 or consent of the instructor. Cross-listed with MTH 3309.

Corequisites: "
CSC 3310,Topics in Computer Science,3,"Special topics in computer science that are new or unique that are not covered in existing courses. 
Possible topics include: computer design, Java programming, parallel and distributed computing.  
May be repeated for credit when topics differ.

Prerequisites: Adjusted according to topic.

Corequisites: "
CSC 3311,Programming Language Concepts,3,"A comparative study of programming languages covering their history, development, and design 
criteria; formal definition of syntax and semantics; concepts and constructs; similarities and 
differences between languages; major language paradigms to include examination of object-
oriented, functional, and concurrent languages; exception handling, modularization, scoping, etc.  
Students program in at least one language they have never used before.

Prerequisites: CSC 2403. Course Fee: $75

Corequisites: "
CSC 3312,Introduction to Data Science,3,"This course provides an introduction to Data Science and Data Analytics using Python 
programming language and supporting libraries to integrate aspects of computer science with a 
variety of data preparation and statistical analysis techniques.  Perform, interpret and evaluate 
analytic inquiries to address explorative or hypothetical outcomes. Specific techniques involve tests 
of inter-variable association, correlation, regression, and clustering.

Prerequisites: CSC 1401 and CSC 1402 and MTH 2301 or BADM 2301, or other introductory statistics

Corequisites: "
CSC 3315,Systems,3,"This course provides a foundational understanding of core software systems and exposure to the 
utilization of LINUX command line through a cloud-based server. In particular, topics include 
operating systems, networking and communications, parallel and distributed computing, and 
systems fundamentals.

Prerequisites: CSC 2305 and CSC 2403

Corequisites: "
CSC 3317,App Development,3,"The intent of the course is to provide a rotating course that would teach a specific computer 
language, providing students with exposure to additional programming languages. The specific 
language would vary periodically. Possible projects may be mobile development (iOS or Android), 
Java, or Java Script.

Prerequisites: CSC 2403 and CSC 3311, or consent of the instructor.

Corequisites: "
CSC 3319,Cryptology,3,"Applications of abstract algebraic and number theoretic concepts to the science of secure 
cryptography. Topics include historical ciphers, public-key cryptography, signed messages, secure 
protocols, and cryptanalysis, especially as these deal with electronic communications. Cross-listed 
as MTH 3319

Prerequisites: CSC/MTH 2305 and one of: CSC 1401, MTH 3313, or MTH 3315

Corequisites: "
CSC 3320,Theory of Computation,3,"This course introduces the theory of computability, including important results from study of 
automata and formal languages. The course begins with the study of automata and their 
relationship to regular, context free and context sensitive languages. Notions of decidability and 
undecidability are discussed and this is related to complexity analysis.

Prerequisites: CSC 2403 or consent of instructor

Corequisites: "
CSC 3330,Information Security,3,"This course provides an overview of information security and assurance, including technical, 
procedural, and policy considerations.  In particular, topics include:  threats, vulnerabilities and 
countermeasures; authentication and authorization; modern cryptography; protection against 
malicious code and other attacks; security for networks; secure software issues; privacy; and 
emerging information security challenges.

Prerequisites: CSC 2305 and CSC 2403.

Corequisites: "
CSC 3331,Cloud Computing & Open Source Software,3,"This course provides an understanding of cloud computing principles and infrastructure 
components to inform architecture and engineering decisions. Additionally, this course explores 
various Open Source software and frameworks and approaches to use and combine them for new 
solutions. CTX's Speaking Center workshops (e.g., impromptu speaking and presentations, team 
dynamics workshops) and coaching will be integrated into the course.

Prerequisites: CSC 2305 and CSC 2403

Corequisites: "
CSC 3410,Geospatial Technologies,3,"Introduction to geographic information systems (GIS) and global positioning systems (GPS) for use 
in environmental analyses and mapping. Units on cartographic design; internet mapping; cell phone 
applications and add-ons; GPS and drone navigation and data collection. Laboratory will focus on 
GIS applications. Cross listed with ESC 3410.

Prerequisites: CIS 1300 or 1401

Corequisites: "
CSC 4301,Senior Design/Independent Study,4,"A working study/project led by an instructor. Projects consist of design and development of 
computer science related hardware or software systems for local businesses or any other 
commercial organization, but within the capacity of a senior student to complete within a term.

Prerequisites: Senior level computer science student or consent of instructor.

Corequisites: "
CSC 4310,Computer Science Internship,4,"Students will participate in an on-the-job computer science work experience under the direct 
supervision of professionals in a corporation or government agency. A senior level course for 
computer science majors only. Graded on a pass/no pass basis.  Fulfills Experiential Learning 
requirement.

Prerequisites: Junior or senior standing

Corequisites: "
CSC 4311,Experiential Learning Capstone I,4,"This is the first of a two-course series. This series is designed to provide students “real world” 
experience with the Software Development Life Cycle (SDLC) by developing a project for a local 
 
 
technology organization. Projects may be a R&D, automation, or value-add initiative for the partner 
organization. During this series students will apply both the technical and communication skills that 
have been developed while pursuing the interdisciplinary Computer Science major. This course 
provides students with the opportunity to gain the desired experience with the additional guidance 
and support from a faculty member overseeing the project development and delivery.

Prerequisites: CSC 1401, CSC 1402, CSC 2403, CSC 2305, CSC 3303, CSC 3311, CSC 3330 and senior

Corequisites: "
CSC 4312,Experiential Learning Capstone II,4,"This is the second of a two-course series. In this course, students continue the project started in 
CSC 4311 with a focus on the design and implementation of the project. This series is designed to 
provide students “real world” experience with the Software Development Life Cycle (SDLC) by 
developing a project for a local technology organization. Projects may be a R&D, automation, or 
value-add initiative for the partner organization. During this series students will apply both the 
technical and communication skills that have been developed while pursuing the interdisciplinary 
Computer Science major. This course provides students with the opportunity to gain the desired 
experience with the additional guidance and support from a faculty member overseeing the project 
development and delivery.

Prerequisites: CSC 4311

Corequisites: "
CRIJ 1301,Introduction to Criminal Justice,1,"This course is a general overview of the criminal justice system including a description of the major 
agencies: police, prosecution, courts, and corrections, and an analysis of their interdependence in 
the criminal justice process.  This course introduces the core working philosophies of the criminal 
justice system from the crime control and due process models of justice and an understanding of 
the agencies that follow those methodologies.

Prerequisites: None

Corequisites: "
CRIJ 2313,"Corrections, Probation, & Parole",2,"Provides an overview of the major facets of the American correction system, a historical look at our 
penal system to the innovations of Parole and Probation as well as other community based 
corrections systems and their overall impact on the criminal justice system.  The success or failures 
of rehabilitation efforts and other programs, juvenile probation and juvenile boot camps will be 
discussed.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 2328,Policing Systems and Practices,2,"An extensive overview of the policing systems used in America.  Looks at our criminal justice 
system from its roots in the British system, the Code of Hammurabi, Mosaic Laws, London 
Metropolitan Police Department and Bow Street Runners as precedents to our modern system of 
criminal justice agencies which emerged in New York, Boston, and Philadelphia.  Examines 
different models or styles of policing, from the watchman, legalistic, and service styles and examine 
the recent innovations such as Community Policing and Intelligence Led Policing and their 
 
 
relevance in today’s policing agencies.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3300,Faith and Justice,3,"Explores the interaction of our country's retributive justice system with our faith's call for justice, 
including examination of justice themes as applied to economic, immigration, trafficking and 
slavery, peacemaking, social, restorative, environmental, prison ministry, civil and voting rights, and 
related justice efforts.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3301,The Faithful Lawyer,3,"Explores the conflict among ethical, moral, and faithful conduct for attorneys licensed by the state, 
the outcomes expected by public and private clients, the vocational stress produced by professional 
demands and boundaries, and our faith's call to do justice, to love mercy, and to walk humbly with 
our God.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3302,Criminal Law,3,"Designed to provide a basic concept of criminal law and to provide legal ground work for those 
who seek to enter the criminal justice system. This course will focus on the impact of statutes and 
case law on criminal justice system practitioners; included are the 4th, 5th, 6th, 8th and 14th 
Amendments as they affect the accused, the convicted, and the employees working in the criminal 
justice system as well as issues of arrest, search and seizure, admittance of evidence and the rights 
of the accused. Serves as a legal update of current changes in the law.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3304,Criminal Investigations,3,"examination of criminal investigation fundamentals including the establishment of a crime scene 
perimeter, unified command, and various methods of crime scene searches, collection and 
preservation of evidence, interviews, interrogation, case preparation, and the familiarization with 
specific instrumentation in crime detection and evidence selection for evidentiary value.  This 
course will also introduce areas of administrative law and its impact on the function of 
bureaucracies and public agencies.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3305,Forensic Science and Criminalistics,3,"Explores forensic science from the biological, chemical, and criminalistics perspective, including 
application from the crime scene to the court process; uses laboratory methods of instruction; 
examines evidence, court procedures, legal and ethical issues, and the role of forensic science in 
the field of criminal justice; and distinguishes appropriate techniques based on crime typology.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3306,Management in Law Enforcement,3,"A study of management functions in a modern criminal justice organization, the internal and 
external environmental factors affecting organizational efficiency, and the application of 
quantitative and behavioral science. The function of the leader and principles of management are 
 
 
viewed from an integrative perspective, including line and staff interactions and relationships. 
Theories of management, authority and responsibility, issues of centralization and decentralization, 
planning, organizing, staffing, directing and controlling will also be studied in the course.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3309,Gangs & Organized Crime,3,"Examines both gangs and organized criminal groups.  Traces the origins and historical development 
of the activities known as ""organized crime”.  Focuses on American gangs, both youthful street 
gangs and militaristic prison gangs with strict hierarchy. Topics include the history of gangs, gang 
and gang member characteristics, gang life, and strategies of gang control. The link between youth 
street gangs, prison gangs, and other deviant collectivities will be explored.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3310,Juveniles in Criminal Justice,3,"An in-depth study of the juvenile justice system. Topics covered are the development of delinquent 
behavior, victimology, initial handling and proper referrals, preventive police techniques, special 
police problems with juveniles, juvenile law, and related juvenile justice agencies.  Plea bargains, 
juvenile probation, restorative vs. rehabilitative models and other best practices in juvenile justice 
will also be discussed.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3311,Criminology,3,"Explores issues such as crime causation and the involvement of the criminal justice and corrections 
systems in these issues.  Provides an analysis of the major criminological theories from the 
predominant “schools” of criminological thought; including the classical theories and rational 
choice; positivism and trait theories, psychoanalytic theories, social structure, social process, and 
social bonds theories.  Particular focus upon the evolution of the theories from the classical and 
positivism schools of thought to the modern choice and trait theories, as well as the evolution of the 
sociological theories. Cross-listed with SOC 3311.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3312,Criminal Profiling,3,"Explore the interwoven biological, psychological and social antecedents and correlates of criminal 
behavior. Psychological issues and their relation to criminal and anti-social behavior will be studied.   
An overview of profiling techniques; provides a definition of the modus operandi and signature 
aspects of serial crimes with a focus on serial rape, arson, and murder investigations and the tactics 
and techniques of using methods of both inductive and deductive reasoning to solve cases which 
pose the greatest threat to both law enforcement and the public.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3313,White Collar Crime,3,"Explores domestic and international white collar crime, agencies tasked with investigating and 
prosecuting white collar crime, applicable criminal laws, underlying sociological and criminological 
theories, the criminals who commit such crimes, and victim impact.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3314,Ethics in Criminal Justice,3,"Presents ethical issues that arise in the three major areas of criminal justice: police, courts, and 
corrections as case studies with discussion of their application. General philosophical theories of 
ethics from both historical as well as biblical accounts will be discussed and an elaboration provided 
about the codes of ethics that operate to control the institutional and personal behavior of police, 
courts and correctional systems.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3316,Victimology and Victim Rights,3,"This course has the dual purpose of looking at the impact of crime upon victims and on our legal 
system, and conducts a brief overview of the crime victim role, criminal-victim relationships (either 
passive or active), and societal reaction to victimization, including crisis-intervention centers, court 
related victim/witness services, restitution and compensation.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3320,Homeland Security,3,"Designed to introduce the student to the scope of issues facing the American public, the private 
sector and law enforcement on securing the country against threats posed by domestic and 
international terrorist groups, students will be given an overview of different terrorist and extremist 
groups to understand their goals, objectives and modus operandi. Threats to American interests 
abroad will be analyzed.  Emphasis will be given to prevention, preparedness, and response. The 
roles of local, state and federal agencies in homeland security and critical infrastructure and key 
resource (CIKR) protection are examined.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3322,Roots of Terrorism,3,"Understanding terrorism as a political crime. Focus is on the historical aspect of terrorism and how 
the use of terrorism as a tool of the weak has evolved from its use by the Jews in Roman times, by 
radical ancient Muslims, and then to its current contextual use by the French, Russian, Irish, and 
Basque movements and finally the modern radical Islamic terrorist groups.  Various methods of 
attack from ancient poisons to modern bombing techniques culminating with the aircraft used 
during the attacks of 9/11 will be compared and contrasted to symmetrical and other asymmetrical 
forms of combat.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3330,Sociology and Psychology of Terrorism,3,"This course helps the student in understanding terrorism as a political crime. The focus includes an 
examination of the sociological and psychological aspects of terrorist behavior; it includes portions 
on the different tactics of terrorism recruitment and attacks as well as the social psychology and 
religious aspects of terrorist group recruiting and formation to give the student a well-rounded 
understanding of the use of terrorism as a tool or tactic.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3335,– Social Science Methods,3,"This course focuses on the use of quantitative and qualitative research methodology that is most 
commonly utilized by social science practitioners. It will emphasize the use of techniques and 
 
 
ethical constructs that are typically employed by those working in social science fields. Cross-listed 
with POLS 3335.

Prerequisites: CRIJ 1301.

Corequisites: "
CRIJ 3377,– Gender & Crime,3,"Gender disparities in contemporary patterns of crime, victimization, and incarceration will be 
explored. Focus will be on key concepts, major theories, and empirical research studies around 
gender and crime.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 3388,– Race and Punishment,3,"The social construct of race has played a central part in the inception and dramatic expansion of the 
U.S. criminal justice system over the past 50 years.  This course will explore the causes and 
consequences of this expansion of the carceral state.  The course will examine how race shapes, 
and is shaped by the carceral state by investigating how racialized social systems create inequalities 
in the delivery of punishment historically.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 4305,Crime Mapping & Intelligence,4,"An analysis of intelligence techniques and serves as a broad overview of military and crime analysis 
techniques and methodologies.  The fundamental (steps of the analytic process) and philosophies 
beginning with traditional Military Intelligence and the movement that has led to Intelligence Led 
Policing will be discussed.  Uses of analysts and systems to assist in investigations as they examine 
crime patterns and resolve community crime problems will be discussed.  Analytical techniques 
including link diagrams, telephone tolls, and visual investigations will be discovered along with a 
theoretical and practical introduction to the benefits of crime mapping and the spatial analysis of 
crime.

Prerequisites: CRIJ 1301

Corequisites: "
CRIJ 4350,Criminal Justice Capstone,4,"Examines the emerging trends in policing, from Homeland Security and Intelligence Led Policing to 
Crisis Intervention and Community Policing, and balances the theoretical goals of the police with 
their realistic expectations.  Culminates in the development and production of a senior-level 
research paper grounded in relevant criminal justice literature regarding one of those topics. 
Emphasis is placed on the integration of knowledge acquired in previous courses and its practical 
application to problem sets provided throughout the class as projects.

Prerequisites: CRIJ 1301

Corequisites: "
CAI 6320,Curriculum Theory,6,"Examines major curriculum philosophies that have influenced educators within the last century. 
Students will analyze four educational visions (Scholar Academic, Social Efficiency, Learner 
Centered and Social Reconstruction). Students will reflect on their personal educational 
philosophies.

Prerequisites: None

Corequisites: "
CAI 6321,Strategies for Professional Development,6,"Designed to engage students in the examination of current research and trends in professional 
development for campus and district instructional staff. Students will have the opportunity to learn 
about development, implementation and evaluation of campus and district-level professional 
development and will explore adult learning strategies and motivation.

Prerequisites: None

Corequisites: "
CAI 6322,Curriculum Design,6,"Examines the impact of 21st Century Standards on the development, implementation and 
evaluation of state and local curricula.

Prerequisites: CAI 6320

Corequisites: "
CAI 6323,Research IV - Proposal,6,"Focuses upon preparation of the dissertation proposal which will include selection of topic, 
development of problem statement and research hypotheses/questions, initial review of literature, 
design of study, and significance and limitations of study.

Prerequisites: None

Corequisites: "
CAI 6324,Assessment of Student Learning,6,"Provides students with the tools to develop, maintain, and evaluate an effective student learning 
assessment process. Exploration of the assessment process will include: how to write appropriate 
learning objectives, the utilization of learning goals, formative and summative assessment, the 
differentiation of testing formats and what they really assess, the utilization of rubrics for improved 
instruction and feedback, and an understanding of the values of writing ethical assessments to meet 
the needs of all students.

Prerequisites: None

Corequisites: "
CAI 6325,Contemporary Issues,6,"Explores the issues in curriculum and instruction which are current as well as those that continue as 
ongoing issues in education. Topics such as teacher accountability, a centralized curriculum, equity 
and access, high-stakes testing, and culturally responsive teaching are among the topics to be 
explored. This will be an evolving course driven by the issues that affect educators.

Prerequisites: None

Corequisites: "
CAI 6351,Program Evaluation,6,"Examines different theoretical models of evaluation and will evaluate an educational program by 
constructing and administering instruments, analyzing the data gathered, determining the worth of 
the program, writing an evaluation report, and presenting the report to the personnel of the 
program evaluated, including presentation for the class.

Prerequisites: None

Corequisites: "
CAI 6352,Supervision & Leadership,6,"Examines research related to the effective supervision of curriculum and instruction at the school, 
district, and system levels

Prerequisites: None

Corequisites: "
CAI 6335,Practicum I,6,"The first of two semesters of fieldwork of the Ed.D. Curriculum & Instruction program, wherein 
students will spend time with one or more mentors in a campus or central office setting and record 
hours in each of the applicable program objectives.

Prerequisites: None

Corequisites: "
CAI 6336,Practicum II,6,"The second of two semesters of fieldwork of the Ed.D. Curriculum & Instruction program, wherein 
students will spend time with one or more mentors in a campus or central office setting and record 
hours in each of the applicable program objectives.

Prerequisites: None

Corequisites: "
ECE 3320,Early Childhood Education Curriculum Methods and Materials,3,"This course will examine organization, materials, curriculum, and methods in preschool, 
kindergarten, and primary education.  Techniques in working with primary age students will be 
emphasized. Therefore, course meetings and learning experiences are interactive and participatory. 
Fieldwork at a local school in an early childhood setting is required as part of this course.

Prerequisites: Admission to the Teacher Ed Program

Corequisites: "
ECO 2301,Introduction to Macroeconomics,2,"Macroeconomics is the social science that studies the way societies, in the aggregate, allocate 
scarce resources to unlimited wants.  Topics of the course include introductions to: supply and 
demand, Gross Domestic Product, inflation, recession, unemployment, aggregate private 
investment, government fiscal policy, monetary policy, international trade, and the effects that each 
of these have on the nation's economy in the classical, Keynesian, and monetarist frameworks.

Prerequisites: None

Corequisites: "
ECO 2302,Introduction to Microeconomics,2,"Microeconomics is the social science that studies the ways individual economic agents allocate 
scarce resources to unlimited wants. Topics of the course include introductions to: supply and 
demand, elasticity of supply and demand, consumer behavior, firm behavior, competition, 
monopoly, oligopoly, and monopolistic competition, resource markets, market failures, antitrust 
policy, and issues of economic equity.

Prerequisites: None

Corequisites: "
EDU 1201,Intro to Education,1,"An introduction to the roles and responsibilities of the teacher, the characteristics of America’s 
schools and curriculum, and selected issues facing today's teachers. Observation/activities will 
focus on the child as learner, teaching strategies, management procedures, classroom climate, and 
roles of the teacher. Fieldwork required. Required of all education major.  Fulfills Experiential 
Learning requirement. Requires time log and reflections to be submitted when applying for 
admission into the Teacher Education Program

Prerequisites: None. Course Fee: $55

Corequisites: "
EDU 2304,Children’s Literature,2,"A survey of the evolution of children's literature, and the exploration, analysis, and evaluation of 
significant literature for children's needs, interests, and capabilities. Emphasis is given to the study 
of the various genres of children's literature and styles of illustration. Suggestions are shared for 
elementary level storytelling, oral reading, and literacy projects. Extensive documented reading of 
children's books is required.

Prerequisites: None

Corequisites: "
EDU 2310,Intro to Exceptional Learners,2,"This course focuses on the foundation of special education. Students will be introduced to basic 
theories and concepts related to identification and classification of exceptional learners, legislation 
and litigation in special education, best practices for classroom instruction for exceptional learners, 
and factors that promote effective consultation and collaboration with families, educators, and other 
professionals. 15 hours of fieldwork required.

Prerequisites: Grade of ‘C’ or higher in EDU 2201.

Corequisites: "
EDU 2320,Teaching Culturally & Linguistically Diverse Students,2,"This course explores best practices in teaching culturally and linguistically diverse students. It is 
designed to build pre-service teachers’ understanding of the influences of culture and home 
language(s) on language development and prepare them to assess and address the linguistic 
strengths and needs of students. This course is required of all Education students.

Prerequisites: None

Corequisites: "
